110,62,104,160,227,303
120,73,119,178,249,328
130,85,133,195,269,351
140,96,147,212,289,373
150,107,160,228,308,395
160,118,173,244,326,415
170,128,186,259,343,435
180,139,199,274,360,454
190,149,211,288,377,472
200,159,223,302,393,490
210,169,235,315,408,507
220,178,246,329,423,524
230,188,257,341,438,540
240,197,268,354,452,556
250,207,279,366,466,572
260,216,289,378,479,586
270,224,300,390,492,601
280,233,310,401,505,615
290,242,319,413,518,629
300,250,329,424,530,643
310,258,339,434,542,656
