110,24,71,149,255,382
120,36,92,179,293,429
130,50,114,208,331,474
140,65,136,238,368,519
150,81,158,267,404,561
160,97,181,296,440,603
170,114,203,325,474,643
180,131,226,353,508,683
190,148,248,381,541,721
200,165,270,408,574,758
210,182,292,435,605,795
220,199,314,461,636,830
230,217,335,487,667,865
240,234,356,512,696,899
250,251,377,537,726,932
260,268,398,562,754,964
270,284,418,586,782,996
280,301,438,610,809,1026
290,317,458,633,836,1057
300,334,478,656,863,1086
310,350,497,679,889,1116
