110,79,119,170,230,295
120,92,135,189,252,321
130,106,151,208,274,345
140,119,167,226,295,368
150,132,182,244,315,391
160,144,197,261,334,412
170,157,212,278,353,433
180,169,226,294,371,453
190,181,240,310,389,473
200,193,253,325,406,492
210,204,266,340,422,510
220,215,279,354,439,527
230,226,291,368,454,545
240,237,304,382,470,561
250,248,316,396,484,578
260,258,327,409,499,594
270,269,339,422,513,609
280,279,350,434,527,624
290,288,361,446,541,639
300,298,372,459,554,653
310,308,383,470,567,667
