110,58,102,162,236,319
120,69,117,180,257,344
130,80,130,197,278,368
140,90,144,214,297,390
150,101,157,230,316,412
160,111,170,246,335,432
170,121,183,261,352,452
180,131,195,275,369,472
190,141,207,290,386,490
200,151,219,303,402,508
210,161,230,317,417,526
220,170,241,330,432,542
230,179,252,343,447,559
240,188,263,355,461,575
250,197,274,367,475,590
260,206,284,379,488,605
270,214,294,391,501,620
280,223,304,402,514,634
290,231,313,413,527,648
300,239,323,424,539,661
310,247,332,435,551,675
