110,76,127,196,279,372
120,90,145,218,305,402
130,104,163,239,330,431
140,117,180,260,355,459
150,131,197,280,378,485
160,144,213,300,401,511
170,158,229,318,422,535
180,171,245,337,443,559
190,183,260,354,464,582
200,196,275,372,483,604
210,208,289,389,503,625
220,220,303,405,521,646
230,232,317,421,539,666
240,244,331,437,557,686
250,255,344,452,574,705
260,266,357,467,591,723
270,277,370,481,607,741
280,288,382,496,623,759
290,299,395,509,639,776
300,309,407,523,654,793
310,319,418,536,669,809
