110,19,83,199,365,570
120,32,109,239,418,637
130,48,137,279,471,701
140,65,165,318,522,763
150,83,193,357,572,823
160,102,222,396,620,881
170,122,251,434,668,937
180,143,280,472,714,992
190,163,308,509,760,1046
200,184,337,545,804,1098
210,205,365,581,847,1148
220,226,393,616,890,1198
230,248,421,651,931,1246
240,269,448,685,972,1293
250,290,475,718,1012,1338
260,311,502,751,1051,1383
270,332,529,784,1089,1427
280,353,555,816,1126,1470
290,373,581,847,1163,1512
300,394,606,878,1199,1553
310,414,631,908,1235,1593
