110,88,172,289,437,607
120,107,198,323,479,656
130,126,224,356,519,703
140,145,249,388,557,747
150,165,274,419,594,790
160,184,299,449,630,831
170,202,322,478,664,870
180,221,346,506,697,908
190,239,368,534,729,945
200,257,391,560,761,980
210,275,413,586,791,1015
220,292,434,612,820,1048
230,310,455,637,849,1080
240,327,475,661,877,1112
250,343,495,684,904,1142
260,360,515,707,931,1172
270,376,534,730,956,1201
280,392,553,752,982,1229
290,407,572,774,1006,1257
300,423,590,795,1030,1284
310,438,608,816,1054,1310
