110,80,158,269,408,568
120,95,180,296,442,608
130,111,201,323,474,646
140,126,221,348,505,682
150,141,241,373,535,716
160,156,260,397,563,749
170,171,279,420,591,781
180,185,297,443,617,811
190,199,315,464,643,840
200,213,332,486,668,869
210,227,349,506,692,896
220,240,366,526,715,923
230,253,382,545,738,948
240,266,398,564,760,973
250,279,414,583,781,997
260,291,429,601,802,1021
270,304,444,618,822,1044
280,316,458,636,842,1066
290,328,472,652,861,1088
300,339,486,669,880,1109
310,351,500,685,899,1130
