110,81,165,285,437,611
120,99,190,317,477,659
130,117,215,349,515,704
140,135,239,380,552,747
150,153,263,409,588,789
160,171,286,438,622,828
170,189,309,466,656,867
180,206,331,493,688,903
190,223,352,519,719,939
200,240,374,545,749,973
210,257,394,570,778,1007
220,273,415,594,806,1039
230,289,434,618,834,1070
240,305,454,641,861,1100
250,321,473,664,887,1130
260,336,491,686,912,1159
270,351,510,707,937,1186
280,366,528,728,961,1214
290,381,545,749,985,1240
300,395,562,769,1008,1266
310,410,579,789,1031,1292
