110,120,172,236,311,392
120,135,190,258,335,419
130,150,208,278,359,445
140,165,225,298,381,470
150,179,241,316,402,494
160,192,257,335,423,516
170,206,272,352,442,538
180,219,287,369,461,559
190,231,302,385,479,579
200,244,316,401,497,598
210,256,329,417,514,617
220,267,343,432,531,635
230,279,356,446,547,653
240,290,368,460,562,670
250,301,380,474,578,686
260,312,392,487,592,702
270,322,404,500,607,718
280,332,416,513,621,733
290,342,427,526,635,748
300,352,438,538,648,763
310,362,449,550,661,777
