110,74,114,167,229,298
120,87,131,187,252,324
130,100,147,206,274,349
140,113,162,224,295,373
150,125,177,242,316,396
160,138,192,259,336,418
170,150,207,276,355,439
180,162,221,292,373,460
190,174,235,308,391,479
200,186,248,323,408,499
210,197,261,338,425,517
220,209,274,353,442,535
230,220,287,367,457,553
240,230,299,381,473,570
250,241,311,395,488,586
260,251,323,408,503,603
270,262,335,421,517,618
280,272,346,434,531,634
290,282,357,446,545,649
300,291,368,459,559,664
310,301,379,470,572,678
