110,67,116,181,260,349
120,79,131,200,283,376
130,91,146,219,305,401
140,103,161,236,326,425
150,114,175,254,347,449
160,125,189,271,366,471
170,137,203,287,385,492
180,147,216,302,403,513
190,158,229,318,421,532
200,169,242,333,438,551
210,179,254,347,454,570
220,189,266,361,470,588
230,199,278,375,486,605
240,209,289,388,501,622
250,218,301,401,516,639
260,228,312,414,530,655
270,237,322,426,544,670
280,246,333,438,558,685
290,255,343,450,571,700
300,264,353,461,584,715
310,272,363,473,597,729
