110,55,103,170,253,348
120,66,118,190,277,376
130,78,134,209,300,403
140,89,149,227,322,429
150,101,163,245,344,453
160,112,178,263,364,477
170,123,192,280,384,500
180,134,205,296,404,522
190,145,219,312,422,543
200,156,232,328,440,563
210,166,245,343,458,583
220,176,257,358,475,603
230,187,269,372,492,621
240,197,281,386,508,639
250,207,293,400,524,657
260,216,305,413,539,674
270,226,316,427,554,691
280,235,327,439,569,707
290,244,338,452,583,723
300,253,349,464,597,739
310,262,359,476,611,754
