110,96,144,204,275,352
120,111,162,225,300,380
130,126,179,246,323,407
140,140,197,266,346,433
150,154,213,286,368,457
160,168,229,304,389,481
170,181,245,322,410,503
180,195,261,340,430,525
190,208,275,357,449,546
200,220,290,373,467,567
210,233,304,389,485,587
220,245,318,405,503,606
230,257,332,420,520,624
240,268,345,435,536,642
250,280,358,450,552,660
260,291,370,464,568,677
270,302,383,478,583,694
280,313,395,491,598,710
290,323,407,504,613,726
300,333,418,517,627,741
310,344,430,530,641,756
