110,82,126,182,248,321
120,96,143,203,272,349
130,110,160,223,296,375
140,124,177,242,318,400
150,137,193,261,339,424
160,150,208,279,360,447
170,163,224,297,380,469
180,176,238,314,399,490
190,189,253,330,418,511
200,201,267,347,436,531
210,213,281,362,454,551
220,225,295,378,471,570
230,236,308,393,488,588
240,248,321,407,504,606
250,259,333,421,520,623
260,270,346,435,535,640
270,281,358,449,550,657
280,291,370,462,565,673
290,302,381,475,579,688
300,312,393,488,593,704
310,322,404,501,607,719
